a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
adapta-maia-theme 3.93.0.43-1
adwaita-icon-theme 3.26.1-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
appstream-glib 0.7.4-1
apvlv 0.1.5-5
arandr 0.1.9-2
archlinux-appstream-data 20171217-1
archlinux-keyring 20180108-1
argon2 20171227-3
artwork-i3 20180109-1
aspcud 1.9.4-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
autojump 22.5.1-1
automake 1.15.1-1
avahi 0.7-2
awesome-terminal-fonts 1.1.0-1
b43-fwcutter 019-1
babl 0.1.38-1
bash 4.4.012-2.2
bc 1.07.1-1
bigloo 4.3a-1
binutils 2.29.1-2
bison 3.0.4-3
blueman 2.0.5-1
bluez 5.48-1
bluez-libs 5.48-1
bmenu 0.5-1
boost 1.66.0-1
boost-libs 1.66.0-1
brandr 0.2-3
btrfs-progs 4.14-2
bumblebee 3.2.1-18
bzip2 1.0.6-6
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cabal-helper 0.7.3.0-8
cairo 1.15.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cdparanoia 10.2-5
celt 0.11.3-3
celt0.5.1 0.5.1.3-3
chicken 4.13.0-1
chromaprint 1.4.2-1
chromium 63.0.3239.132-3
cifs-utils 6.7-2
ckbcomp 1.155-1
clang 5.0.1-1
clingo 5.2.2-5
clipit 1.4.3-2
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gtk 1.8.4-1
cmake 3.10.1-2
cogl 1.22.2+11+g811f285a-1
colord 1.4.1+6+gf08c25d-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-10
confuse 3.2.1-1
conky 1.10.6-3
conky-i3 20180109-1
coreutils 8.28-1
cower 17-1
cpupower 4.14-1
cracklib 2.9.6-1
