accountsservice 0.6.45-1
acpi 1.7-2
acpid 2.0.28-1
alsa-firmware 1.0.29-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
apvlv 0.1.5-5
arandr 0.1.9-2
artwork-i3 20180109-1
autoconf 2.69-4
autojump 22.5.1-1
automake 1.15.1-1
avahi 0.7-2
awesome-terminal-fonts 1.1.0-1
b43-fwcutter 019-1
bash 4.4.012-2.2
bigloo 4.3a-1
binutils 2.29.1-2
bison 3.0.4-3
blueman 2.0.5-1
bmenu 0.5-1
boost 1.66.0-1
brandr 0.2-3
btrfs-progs 4.14-2
bumblebee 3.2.1-18
bzip2 1.0.6-6
cabal-helper 0.7.3.0-8
chicken 4.13.0-1
chromium 63.0.3239.132-3
clipit 1.4.3-2
cmake 3.10.1-2
coreutils 8.28-1
cpupower 4.14-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.0-5
device-mapper 2.02.177-1
dfc 3.1.1-1
dhclient 4.3.6-4
dhcpcd 6.11.5-1
diffutils 3.6-1
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.78-1
dosfstools 4.1-1
downgrade 6.0.0-1
dropbox 39.4.49-1
e2fsprogs 1.43.8-1
ecryptfs-utils 111-2
efibootmgr 15-1
electrum 3.0.5-1
epdfview 0.1.8-8
exfat-utils 1.2.7-1
f2fs-tools 1.9.0-1
fakeroot 1.22-1
feh 2.23-1
ff-theme-util 1.4-1
ffmpeg 1:3.4.1-3
ffmpegthumbnailer 2.2.0-1
file 5.32-1
filesystem 2017.06-4.5
findutils 4.6.0-2
firefox 57.0.4-1
flac 1.3.2-1
flashplugin 28.0.0.137-1
flex 2.6.4-1
gawk 4.2.0-2
gcc 7.2.1+20171224-2
gcc-libs 7.2.1+20171224-2
gcolor2 0.4-7
gconf 3.2.6-5
gdb 8.0.1-1
gedit 3.22.1+1+gd21912e3e-1
gettext 0.19.8.1-2
gimp 2.8.22-1
gksu 2.0.2-6
glibc 2.26-10
gnome-keyring 1:3.27.2-1
gnome-screenshot 3.26.0-1
gnome-terminal 3.26.2-1
